SN,Train_No,Station_Code,1A,2A,3A,SL,Station_Name,Route_Number,Arrival_time,Departure_Time,Distance,Arrival_Minutes,Departure_Minutes,Arrival_Formatted,Departure_Formatted
10,12166,JL,5515,4432,3349,2266,JALGAON JN.,1,14:12:00,14:15:00,1083,852.0,855.0,14:12,14:15
11,12166,MMR,6310,5068,3826,2584,MANMAD JN.,1,15:55:00,16:00:00,1242,955.0,960.0,15:55,16:00
12,12166,NK,6680,5364,4048,2732,NASIK ROAD,1,16:55:00,17:00:00,1316,1015.0,1020.0,16:55,17:00
13,12166,IGP,6930,5564,4198,2832,IGATPURI,1,18:30:00,18:35:00,1366,1110.0,1115.0,18:30,18:35
14,12166,KYN,7345,5896,4447,2998,KALYAN JN,1,20:22:00,20:25:00,1449,1222.0,1225.0,20:22,20:25
15,12166,TNA,7450,5980,4510,3040,THANE,1,20:47:00,20:50:00,1470,1247.0,1250.0,20:47,20:50
16,12166,LTT,7535,6048,4561,3074,LOKMANYA TIL,1,21:30:00,00:00:00,1487,1290.0,0.0,21:30,00:00
1,12167,LTT,100,100,100,100,LOKMANYA TIL,1,00:35:00,00:35:00,0,35.0,35.0,00:35,00:35
2,12167,KYN,285,248,211,174,KALYAN JN,1,01:20:00,01:23:00,37,80.0,83.0,01:20,01:23
3,12167,IGP,700,580,460,340,IGATPURI,1,03:10:00,03:15:00,120,190.0,195.0,03:10,03:15
4,12167,NK,955,784,613,442,NASIK ROAD,1,04:05:00,04:10:00,171,245.0,250.0,04:05,04:10
5,12167,BSL,2240,1812,1384,956,BHUSAVAL JN.,1,07:25:00,07:35:00,428,445.0,455.0,07:25,07:35
6,12167,KNW,2855,2304,1753,1202,KHANDWA JN.,1,10:10:00,10:15:00,551,610.0,615.0,10:10,10:15
7,12167,ET,3775,3040,2305,1570,ITARSI,1,13:00:00,13:10:00,735,780.0,790.0,13:00,13:10
8,12167,JBP,5000,4020,3040,2060,JABALPUR,1,16:30:00,16:40:00,980,990.0,1000.0,16:30,16:40
9,12167,KTE,5450,4380,3310,2240,KATNI,1,17:55:00,18:00:00,1070,1075.0,1080.0,17:55,18:00
10,12167,STA,5945,4776,3607,2438,SATNA,1,19:35:00,19:45:00,1169,1175.0,1185.0,19:35,19:45
11,12167,MKP,6335,5088,3841,2594,MANIKPUR JN.,1,22:10:00,22:12:00,1247,1330.0,1332.0,22:10,22:12
12,12167,ACOI,6825,5480,4135,2790,CHHEOKI,1,23:35:00,23:42:00,1345,1415.0,1422.0,23:35,23:42
13,12167,BSB,7600,6100,4600,3100,VARANASI JN.,1,03:45:00,03:45:00,1500,225.0,225.0,03:45,03:45
1,12168,BSB,100,100,100,100,VARANASI JN.,1,10:25:00,10:25:00,0,625.0,625.0,10:25,10:25
2,12168,ACOI,875,720,565,410,CHHEOKI,1,12:45:00,12:50:00,155,765.0,770.0,12:45,12:50
3,12168,MKP,1365,1112,859,606,MANIKPUR JN.,1,14:28:00,14:30:00,253,868.0,870.0,14:28,14:30
4,12168,STA,1750,1420,1090,760,SATNA,1,15:35:00,15:45:00,330,935.0,945.0,15:35,15:45
5,12168,KTE,2240,1812,1384,956,KATNI,1,16:55:00,17:00:00,428,1015.0,1020.0,16:55,17:00
6,12168,JBP,2695,2176,1657,1138,JABALPUR,1,18:20:00,18:30:00,519,1100.0,1110.0,18:20,18:30
7,12168,ET,3920,3156,2392,1628,ITARSI,1,23:10:00,23:20:00,764,1390.0,1400.0,23:10,23:20
8,12168,KNW,4840,3892,2944,1996,KHANDWA JN.,1,03:00:00,03:05:00,948,180.0,185.0,03:00,03:05
9,12168,BSL,5455,4384,3313,2242,BHUSAVAL JN.,1,04:45:00,04:55:00,1071,285.0,295.0,04:45,04:55
10,12168,NK,6740,5412,4084,2756,NASIK ROAD,1,07:55:00,08:00:00,1328,475.0,480.0,07:55,08:00
11,12168,IGP,6995,5616,4237,2858,IGATPURI,1,09:40:00,09:45:00,1379,580.0,585.0,09:40,09:45
12,12168,KYN,7410,5948,4486,3024,KALYAN JN,1,11:22:00,11:25:00,1462,682.0,685.0,11:22,11:25
13,12168,LTT,7600,6100,4600,3100,LOKMANYA TIL,1,12:25:00,12:25:00,1500,745.0,745.0,12:25,12:25
1,12169,PUNE,100,100,100,100,PUNE JN.,1,09:30:00,09:30:00,0,570.0,570.0,09:30,09:30
2,12169,DD,485,408,331,254,DAUND JN.,1,10:30:00,10:32:00,77,630.0,632.0,10:30,10:32
3,12169,JEUR,860,708,556,404,JEUR,1,11:33:00,11:35:00,152,693.0,695.0,11:33,11:35
4,12169,KWV,1030,844,658,472,KURDUVADI JN,1,11:58:00,12:01:00,186,718.0,721.0,11:58,12:01
5,12169,SUR,1425,1160,895,630,SOLAPUR,1,13:30:00,13:30:00,265,810.0,810.0,13:30,13:30
1,12170,SUR,100,100,100,100,SOLAPUR,1,14:00:00,14:00:00,0,840.0,840.0,14:00,14:00
2,12170,KWV,490,412,334,256,KURDUVADI JN,1,14:57:00,15:00:00,78,897.0,900.0,14:57,15:00
3,12170,JEUR,665,552,439,326,JEUR,1,15:29:00,15:30:00,113,929.0,930.0,15:29,15:30
4,12170,DD,1035,848,661,474,DAUND JN.,1,16:43:00,16:45:00,187,1003.0,1005.0,16:43,16:45
5,12170,PUNE,1425,1160,895,630,PUNE JN.,1,18:05:00,18:05:00,265,1085.0,1085.0,18:05,18:05
1,12171,LTT,100,100,100,100,LOKMANYA TIL,1,07:55:00,07:55:00,0,475.0,475.0,07:55,07:55
2,12171,KYN,285,248,211,174,KALYAN JN,1,08:27:00,08:30:00,37,507.0,510.0,08:27,08:30
3,12171,NK,955,784,613,442,NASIK ROAD,1,11:03:00,11:05:00,171,663.0,665.0,11:03,11:05
4,12171,BSL,2240,1812,1384,956,BHUSAVAL JN.,1,14:05:00,14:15:00,428,845.0,855.0,14:05,14:15
5,12171,BPL,4230,3404,2578,1752,BHOPAL,1,20:30:00,20:40:00,826,1230.0,1240.0,20:30,20:40
6,12171,JHS,5680,4564,3448,2332,JHANSI JN,1,00:28:00,00:38:00,1116,28.0,38.0,00:28,00:38
7,12171,AGC,6700,5380,4060,2740,AGRA CANTT,1,04:00:00,04:05:00,1320,240.0,245.0,04:00,04:05
8,12171,NZM,7605,6104,4603,3102,HAZRAT NIZAM,1,06:55:00,07:10:00,1501,415.0,430.0,06:55,07:10
9,12171,MTC,7980,6404,4828,3252,MEERUT CITY,1,08:34:00,08:36:00,1576,514.0,516.0,08:34,08:36
10,12171,TPZ,8515,6832,5149,3466,TAPRI JN.,1,11:19:00,11:21:00,1683,679.0,681.0,11:19,11:21
11,12171,RK,8675,6960,5245,3530,ROORKEE,1,11:50:00,11:52:00,1715,710.0,712.0,11:50,11:52
12,12171,HW,8880,7124,5368,3612,HARIDWAR JN,1,13:15:00,13:15:00,1756,795.0,795.0,13:15,13:15
1,12172,HW,100,100,100,100,HARIDWAR JN,1,00:00:00,18:45:00,0,0.0,1125.0,00:00,18:45
2,12172,RK,305,264,223,182,ROORKEE,1,19:38:00,19:40:00,41,1178.0,1180.0,19:38,19:40
3,12172,TPZ,465,392,319,246,TAPRI JN.,1,20:19:00,20:21:00,73,1219.0,1221.0,20:19,20:21
4,12172,MTC,1000,820,640,460,MEERUT CITY,1,21:38:00,21:40:00,180,1298.0,1300.0,21:38,21:40
5,12172,NZM,1370,1116,862,608,HAZRAT NIZAM,1,23:10:00,00:10:00,254,1390.0,10.0,23:10,00:10
6,12172,AGC,2290,1852,1414,976,AGRA CANTT,1,02:55:00,03:00:00,438,175.0,180.0,02:55,03:00
7,12172,JHS,3310,2668,2026,1384,JHANSI JN,1,06:15:00,06:25:00,642,375.0,385.0,06:15,06:25
8,12172,BPL,4760,3828,2896,1964,BHOPAL,1,10:25:00,10:35:00,932,625.0,635.0,10:25,10:35
9,12172,BSL,6755,5424,4093,2762,BHUSAVAL JN.,1,16:35:00,16:45:00,1331,995.0,1005.0,16:35,16:45
10,12172,NK,8040,6452,4864,3276,NASIK ROAD,1,19:40:00,19:45:00,1588,1180.0,1185.0,19:40,19:45
11,12172,KYN,8710,6988,5266,3544,KALYAN JN,1,22:52:00,22:55:00,1722,1372.0,1375.0,22:52,22:55
12,12172,LTT,8895,7136,5377,3618,LOKMANYA TIL,1,23:45:00,00:00:00,1759,1425.0,0.0,23:45,00:00
1,12173,LTT,100,100,100,100,LOKMANYA TIL,1,16:25:00,16:25:00,0,985.0,985.0,16:25,16:25
2,12173,TNA,185,168,151,134,THANE,1,16:43:00,16:45:00,17,1003.0,1005.0,16:43,16:45
3,12173,KYN,285,248,211,174,KALYAN JN,1,17:07:00,17:10:00,37,1027.0,1030.0,17:07,17:10
4,12173,NK,955,784,613,442,NASIK ROAD,1,19:30:00,19:35:00,171,1170.0,1175.0,19:30,19:35
5,12173,BSL,2240,1812,1384,956,BHUSAVAL JN.,1,22:50:00,23:00:00,428,1370.0,1380.0,22:50,23:00
6,12173,BPL,4230,3404,2578,1752,BHOPAL,1,04:55:00,05:05:00,826,295.0,305.0,04:55,05:05
7,12173,JHS,5680,4564,3448,2332,JHANSI JN,1,09:10:00,09:20:00,1116,550.0,560.0,09:10,09:20
8,12173,ORAI,6250,5020,3790,2560,ORAI,1,11:05:00,11:07:00,1230,665.0,667.0,11:05,11:07
9,12173,CNB,6770,5436,4102,2768,KANPUR CENTR,1,13:30:00,13:35:00,1334,810.0,815.0,13:30,13:35
10,12173,LKO,7140,5732,4324,2916,LUCKNOW JN.,1,14:55:00,15:05:00,1408,895.0,905.0,14:55,15:05
11,12173,RBL,7525,6040,4555,3070,RAE BARELI J,1,16:20:00,16:25:00,1485,980.0,985.0,16:20,16:25
12,12173,AME,7830,6284,4738,3192,AMETHI,1,17:34:00,17:36:00,1546,1054.0,1056.0,17:34,17:36
13,12173,PBH,8005,6424,4843,3262,PARTAPGARH J,1,19:05:00,19:05:00,1581,1145.0,1145.0,19:05,19:05
1,12174,PBH,100,100,100,100,PARTAPGARH J,1,01:50:00,01:50:00,0,110.0,110.0,01:50,01:50
2,12174,AME,275,240,205,170,AMETHI,1,02:33:00,02:35:00,35,153.0,155.0,02:33,02:35
3,12174,RBL,575,480,385,290,RAE BARELI J,1,03:30:00,03:32:00,95,210.0,212.0,03:30,03:32
4,12174,LKO,960,788,616,444,LUCKNOW JN.,1,05:40:00,05:50:00,172,340.0,350.0,05:40,05:50
5,12174,CNB,1330,1084,838,592,KANPUR CENTR,1,07:50:00,08:00:00,246,470.0,480.0,07:50,08:00
6,12174,ORAI,1850,1500,1150,800,ORAI,1,09:45:00,09:50:00,350,585.0,590.0,09:45,09:50
7,12174,JHS,2420,1956,1492,1028,JHANSI JN,1,11:40:00,11:55:00,464,700.0,715.0,11:40,11:55
8,12174,BPL,3870,3116,2362,1608,BHOPAL,1,16:20:00,16:30:00,754,980.0,990.0,16:20,16:30
9,12174,BSL,5860,4708,3556,2404,BHUSAVAL JN.,1,22:45:00,22:55:00,1152,1365.0,1375.0,22:45,22:55
10,12174,NK,7145,5736,4327,2918,NASIK ROAD,1,02:05:00,02:10:00,1409,125.0,130.0,02:05,02:10
11,12174,KYN,7815,6272,4729,3186,KALYAN JN,1,05:00:00,05:03:00,1543,300.0,303.0,05:00,05:03
12,12174,TNA,7920,6356,4792,3228,THANE,1,05:23:00,05:25:00,1564,323.0,325.0,05:23,05:25
13,12174,LTT,8005,6424,4843,3262,LOKMANYA TIL,1,06:00:00,06:00:00,1581,360.0,360.0,06:00,06:00
1,12175,HWH,100,100,100,100,HOWRAH JN.,1,17:45:00,17:45:00,0,1065.0,1065.0,17:45,17:45
2,12175,BWN,570,476,382,288,BARDDHAMAN J,1,19:05:00,19:10:00,94,1145.0,1150.0,19:05,19:10
3,12175,DGR,885,728,571,414,DURGAPUR,1,19:52:00,19:54:00,157,1192.0,1194.0,19:52,19:54
4,12175,ASN,1095,896,697,498,ASANSOL MAIN,1,20:35:00,20:40:00,199,1235.0,1240.0,20:35,20:40
5,12175,DHN,1390,1132,874,616,DHANBAD JN.,1,22:17:00,22:22:00,258,1337.0,1342.0,22:17,22:22
6,12175,GMO,1535,1248,961,674,NSC BOSE J G,1,22:48:00,22:58:00,287,1368.0,1378.0,22:48,22:58
7,12175,PNME,1625,1320,1015,710,PARASNATH,1,23:14:00,23:19:00,305,1394.0,1399.0,23:14,23:19
8,12175,KQR,2000,1620,1240,860,KODERMA,1,00:08:00,00:10:00,380,8.0,10.0,00:08,00:10
9,12175,GAYA,2380,1924,1468,1012,GAYA JN.,1,01:45:00,01:50:00,456,105.0,110.0,01:45,01:50
10,12175,DOS,2810,2268,1726,1184,DEHRI-ON-SON,1,02:48:00,02:50:00,542,168.0,170.0,02:48,02:50
11,12175,SSM,2895,2336,1777,1218,SASARAM,1,03:03:00,03:05:00,559,183.0,185.0,03:03,03:05
12,12175,BBU,3135,2528,1921,1314,BHABUA ROAD,1,03:35:00,03:36:00,607,215.0,216.0,03:35,03:36
13,12175,MGS,3400,2740,2080,1420,MUGHAL SARAI,1,04:50:00,05:00:00,660,290.0,300.0,04:50,05:00
14,12175,CAR,3560,2868,2176,1484,CHUNAR JN.,1,05:40:00,05:42:00,692,340.0,342.0,05:40,05:42
15,12175,MZP,3715,2992,2269,1546,MIRZAPUR,1,06:08:00,06:13:00,723,368.0,373.0,06:08,06:13
16,12175,BDL,3755,3024,2293,1562,VINDHYACHAL,1,06:22:00,06:24:00,731,382.0,384.0,06:22,06:24
17,12175,ACOI,4120,3316,2512,1708,CHHEOKI,1,07:25:00,07:35:00,804,445.0,455.0,07:25,07:35
18,12175,MKP,4610,3708,2806,1904,MANIKPUR JN.,1,09:25:00,09:30:00,902,565.0,570.0,09:25,09:30
19,12175,CKTD,4770,3836,2902,1968,CHITRAKUTDHA,1,09:54:00,09:56:00,934,594.0,596.0,09:54,09:56
20,12175,ATE,4950,3980,3010,2040,ATARRA,1,10:24:00,10:26:00,970,624.0,626.0,10:24,10:26
21,12175,BNDA,5110,4108,3106,2104,BANDA JN,1,11:05:00,11:15:00,1002,665.0,675.0,11:05,11:15
22,12175,MBA,5380,4324,3268,2212,MAHOBA,1,12:03:00,12:05:00,1056,723.0,725.0,12:03,12:05
23,12175,KLAR,5485,4408,3331,2254,KULPAHAR,1,12:23:00,12:25:00,1077,743.0,745.0,12:23,12:25
24,12175,HPP,5645,4536,3427,2318,HARPALPUR,1,12:53:00,12:55:00,1109,773.0,775.0,12:53,12:55
25,12175,MRPR,5750,4620,3490,2360,MAU RANIPUR,1,13:18:00,13:20:00,1130,798.0,800.0,13:18,13:20
26,12175,NEW,5915,4752,3589,2426,NIWARI,1,13:48:00,13:50:00,1163,828.0,830.0,13:48,13:50
27,12175,BWR,5960,4788,3616,2444,BARWA SAGAR,1,14:03:00,14:05:00,1172,843.0,845.0,14:03,14:05
28,12175,JHS,6070,4876,3682,2488,JHANSI JN,1,15:10:00,15:30:00,1194,910.0,930.0,15:10,15:30
29,12175,DAA,6195,4976,3757,2538,DATIA,1,15:50:00,15:52:00,1219,950.0,952.0,15:50,15:52
30,12175,DBA,6345,5096,3847,2598,DABRA,1,16:13:00,16:15:00,1249,973.0,975.0,16:13,16:15
31,12175,GWL,6555,5264,3973,2682,GWALIOR JN,1,17:15:00,17:15:00,1291,1035.0,1035.0,17:15,17:15
1,12176,GWL,100,100,100,100,GWALIOR JN,1,07:15:00,07:15:00,0,435.0,435.0,07:15,07:15
2,12176,DBA,310,268,226,184,DABRA,1,07:50:00,07:52:00,42,470.0,472.0,07:50,07:52
3,12176,DAA,460,388,316,244,DATIA,1,08:18:00,08:20:00,72,498.0,500.0,08:18,08:20
4,12176,JHS,585,488,391,294,JHANSI JN,1,08:50:00,09:00:00,97,530.0,540.0,08:50,09:00
5,12176,BWR,695,576,457,338,BARWA SAGAR,1,09:23:00,09:25:00,119,563.0,565.0,09:23,09:25
6,12176,NEW,740,612,484,356,NIWARI,1,09:38:00,09:40:00,128,578.0,580.0,09:38,09:40
7,12176,MRPR,900,740,580,420,MAU RANIPUR,1,10:08:00,10:10:00,160,608.0,610.0,10:08,10:10
8,12176,HPP,1010,828,646,464,HARPALPUR,1,10:33:00,10:35:00,182,633.0,635.0,10:33,10:35
9,12176,KLAR,1165,952,739,526,KULPAHAR,1,11:03:00,11:05:00,213,663.0,665.0,11:03,11:05
10,12176,MBA,1270,1036,802,568,MAHOBA,1,11:28:00,11:30:00,234,688.0,690.0,11:28,11:30
11,12176,BNDA,1540,1252,964,676,BANDA JN,1,12:25:00,12:35:00,288,745.0,755.0,12:25,12:35
12,12176,ATE,1700,1380,1060,740,ATARRA,1,12:58:00,13:00:00,320,778.0,780.0,12:58,13:00
13,12176,CKTD,1885,1528,1171,814,CHITRAKUTDHA,1,13:29:00,13:31:00,357,809.0,811.0,13:29,13:31
14,12176,MKP,2040,1652,1264,876,MANIKPUR JN.,1,14:30:00,14:55:00,388,870.0,895.0,14:30,14:55
15,12176,ACOI,2530,2044,1558,1072,CHHEOKI,1,16:40:00,17:10:00,486,1000.0,1030.0,16:40,17:10
16,12176,BDL,2900,2340,1780,1220,VINDHYACHAL,1,18:00:00,18:02:00,560,1080.0,1082.0,18:00,18:02
17,12176,MZP,2935,2368,1801,1234,MIRZAPUR,1,18:15:00,18:20:00,567,1095.0,1100.0,18:15,18:20
18,12176,CAR,3090,2492,1894,1296,CHUNAR JN.,1,18:46:00,18:48:00,598,1126.0,1128.0,18:46,18:48
19,12176,MGS,3250,2620,1990,1360,MUGHAL SARAI,1,20:00:00,20:15:00,630,1200.0,1215.0,20:00,20:15
20,12176,BBU,3520,2836,2152,1468,BHABUA ROAD,1,20:51:00,20:52:00,684,1251.0,1252.0,20:51,20:52
21,12176,SSM,3755,3024,2293,1562,SASARAM,1,21:24:00,21:25:00,731,1284.0,1285.0,21:24,21:25
22,12176,DOS,3845,3096,2347,1598,DEHRI-ON-SON,1,21:40:00,21:42:00,749,1300.0,1302.0,21:40,21:42
23,12176,GAYA,4270,3436,2602,1768,GAYA JN.,1,22:40:00,22:45:00,834,1360.0,1365.0,22:40,22:45
24,12176,KQR,4650,3740,2830,1920,KODERMA,1,00:23:00,00:25:00,910,23.0,25.0,00:23,00:25
25,12176,PNME,5030,4044,3058,2072,PARASNATH,1,01:18:00,01:23:00,986,78.0,83.0,01:18,01:23
26,12176,GMO,5120,4116,3112,2108,NSC BOSE J G,1,01:40:00,01:50:00,1004,100.0,110.0,01:40,01:50
27,12176,DHN,5265,4232,3199,2166,DHANBAD JN.,1,02:25:00,02:30:00,1033,145.0,150.0,02:25,02:30
28,12176,ASN,5560,4468,3376,2284,ASANSOL MAIN,1,03:50:00,03:55:00,1092,230.0,235.0,03:50,03:55
29,12176,DGR,5770,4636,3502,2368,DURGAPUR,1,04:25:00,04:27:00,1134,265.0,267.0,04:25,04:27
30,12176,BWN,6085,4888,3691,2494,BARDDHAMAN J,1,05:21:00,05:25:00,1197,321.0,325.0,05:21,05:25
31,12176,HWH,6560,5268,3976,2684,HOWRAH JN.,1,06:45:00,06:45:00,1292,405.0,405.0,06:45,06:45
1,12177,HWH,100,100,100,100,HOWRAH JN.,1,17:45:00,17:45:00,0,1065.0,1065.0,17:45,17:45
2,12177,BWN,570,476,382,288,BARDDHAMAN J,1,19:05:00,19:10:00,94,1145.0,1150.0,19:05,19:10
3,12177,DGR,885,728,571,414,DURGAPUR,1,19:52:00,19:54:00,157,1192.0,1194.0,19:52,19:54
4,12177,ASN,1095,896,697,498,ASANSOL MAIN,1,20:35:00,20:40:00,199,1235.0,1240.0,20:35,20:40
5,12177,DHN,1390,1132,874,616,DHANBAD JN.,1,22:17:00,22:22:00,258,1337.0,1342.0,22:17,22:22
6,12177,GMO,1535,1248,961,674,NSC BOSE J G,1,22:48:00,22:58:00,287,1368.0,1378.0,22:48,22:58
7,12177,PNME,1625,1320,1015,710,PARASNATH,1,23:14:00,23:19:00,305,1394.0,1399.0,23:14,23:19
8,12177,KQR,2000,1620,1240,860,KODERMA,1,00:08:00,00:10:00,380,8.0,10.0,00:08,00:10
9,12177,GAYA,2380,1924,1468,1012,GAYA JN.,1,01:45:00,01:50:00,456,105.0,110.0,01:45,01:50
10,12177,DOS,2810,2268,1726,1184,DEHRI-ON-SON,1,02:48:00,02:50:00,542,168.0,170.0,02:48,02:50
11,12177,SSM,2895,2336,1777,1218,SASARAM,1,03:02:00,03:03:00,559,182.0,183.0,03:02,03:03
12,12177,BBU,3135,2528,1921,1314,BHABUA ROAD,1,03:35:00,03:36:00,607,215.0,216.0,03:35,03:36
13,12177,MGS,3400,2740,2080,1420,MUGHAL SARAI,1,04:50:00,05:00:00,660,290.0,300.0,04:50,05:00
14,12177,CAR,3560,2868,2176,1484,CHUNAR JN.,1,05:40:00,05:42:00,692,340.0,342.0,05:40,05:42
15,12177,MZP,3715,2992,2269,1546,MIRZAPUR,1,06:08:00,06:13:00,723,368.0,373.0,06:08,06:13
16,12177,BDL,3755,3024,2293,1562,VINDHYACHAL,1,06:22:00,06:24:00,731,382.0,384.0,06:22,06:24
17,12177,ACOI,4120,3316,2512,1708,CHHEOKI,1,07:25:00,07:35:00,804,445.0,455.0,07:25,07:35
18,12177,MKP,4610,3708,2806,1904,MANIKPUR JN.,1,09:25:00,09:30:00,902,565.0,570.0,09:25,09:30
19,12177,CKTD,4770,3836,2902,1968,CHITRAKUTDHA,1,09:53:00,09:56:00,934,593.0,596.0,09:53,09:56
20,12177,ATE,4950,3980,3010,2040,ATARRA,1,10:24:00,10:26:00,970,624.0,626.0,10:24,10:26
21,12177,BNDA,5110,4108,3106,2104,BANDA JN,1,11:05:00,11:15:00,1002,665.0,675.0,11:05,11:15
22,12177,MBA,5380,4324,3268,2212,MAHOBA,1,12:03:00,12:05:00,1056,723.0,725.0,12:03,12:05
23,12177,KLAR,5485,4408,3331,2254,KULPAHAR,1,12:23:00,12:25:00,1077,743.0,745.0,12:23,12:25
24,12177,HPP,5645,4536,3427,2318,HARPALPUR,1,12:53:00,12:55:00,1109,773.0,775.0,12:53,12:55
25,12177,MRPR,5750,4620,3490,2360,MAU RANIPUR,1,13:18:00,13:20:00,1130,798.0,800.0,13:18,13:20
26,12177,NEW,5915,4752,3589,2426,NIWARI,1,13:48:00,13:50:00,1163,828.0,830.0,13:48,13:50
27,12177,BWR,5960,4788,3616,2444,BARWA SAGAR,1,14:03:00,14:05:00,1172,843.0,845.0,14:03,14:05
28,12177,JHS,6070,4876,3682,2488,JHANSI JN,1,15:10:00,15:30:00,1194,910.0,930.0,15:10,15:30
29,12177,DAA,6195,4976,3757,2538,DATIA,1,15:50:00,15:52:00,1219,950.0,952.0,15:50,15:52
30,12177,DBA,6345,5096,3847,2598,DABRA,1,16:13:00,16:15:00,1249,973.0,975.0,16:13,16:15
31,12177,GWL,6555,5264,3973,2682,GWALIOR JN,1,17:13:00,17:15:00,1291,1033.0,1035.0,17:13,17:15
32,12177,SANK,6700,5380,4060,2740,SANK,1,17:38:00,17:40:00,1320,1058.0,1060.0,17:38,17:40
33,12177,AGC,7090,5692,4294,2896,AGRA CANTT,1,19:10:00,19:15:00,1398,1150.0,1155.0,19:10,19:15
34,12177,MTJ,7355,5904,4453,3002,MATHURA JN.,1,20:20:00,20:20:00,1451,1220.0,1220.0,20:20,20:20
1,12178,MTJ,100,100,100,100,MATHURA JN.,1,04:25:00,04:25:00,0,265.0,265.0,04:25,04:25
2,12178,AGC,365,312,259,206,AGRA CANTT,1,05:13:00,05:18:00,53,313.0,318.0,05:13,05:18
3,12178,MRA,710,588,466,344,MORENA,1,06:27:00,06:29:00,122,387.0,389.0,06:27,06:29
4,12178,GWL,900,740,580,420,GWALIOR JN,1,07:05:00,07:15:00,160,425.0,435.0,07:05,07:15
5,12178,DBA,1110,908,706,504,DABRA,1,07:50:00,07:52:00,202,470.0,472.0,07:50,07:52
6,12178,DAA,1265,1032,799,566,DATIA,1,08:18:00,08:20:00,233,498.0,500.0,08:18,08:20
7,12178,JHS,1385,1128,871,614,JHANSI JN,1,08:50:00,09:00:00,257,530.0,540.0,08:50,09:00
8,12178,BWR,1500,1220,940,660,BARWA SAGAR,1,09:23:00,09:25:00,280,563.0,565.0,09:23,09:25
9,12178,NEW,1545,1256,967,678,NIWARI,1,09:38:00,09:40:00,289,578.0,580.0,09:38,09:40
10,12178,MRPR,1705,1384,1063,742,MAU RANIPUR,1,10:08:00,10:10:00,321,608.0,610.0,10:08,10:10
11,12178,HPP,1810,1468,1126,784,HARPALPUR,1,10:33:00,10:35:00,342,633.0,635.0,10:33,10:35
12,12178,KLAR,1970,1596,1222,848,KULPAHAR,1,11:03:00,11:05:00,374,663.0,665.0,11:03,11:05
13,12178,MBA,2075,1680,1285,890,MAHOBA,1,11:28:00,11:30:00,395,688.0,690.0,11:28,11:30
14,12178,BNDA,2345,1896,1447,998,BANDA JN,1,12:25:00,12:35:00,449,745.0,755.0,12:25,12:35
15,12178,ATE,2505,2024,1543,1062,ATARRA,1,12:58:00,13:00:00,481,778.0,780.0,12:58,13:00
16,12178,CKTD,2690,2172,1654,1136,CHITRAKUTDHA,1,13:29:00,13:31:00,518,809.0,811.0,13:29,13:31
17,12178,MKP,2845,2296,1747,1198,MANIKPUR JN.,1,14:30:00,14:55:00,549,870.0,895.0,14:30,14:55
18,12178,ACOI,3335,2688,2041,1394,CHHEOKI,1,16:40:00,17:10:00,647,1000.0,1030.0,16:40,17:10
19,12178,BDL,3705,2984,2263,1542,VINDHYACHAL,1,18:00:00,18:02:00,721,1080.0,1082.0,18:00,18:02
20,12178,MZP,3740,3012,2284,1556,MIRZAPUR,1,18:15:00,18:20:00,728,1095.0,1100.0,18:15,18:20
21,12178,CAR,3895,3136,2377,1618,CHUNAR JN.,1,18:46:00,18:48:00,759,1126.0,1128.0,18:46,18:48
22,12178,MGS,4055,3264,2473,1682,MUGHAL SARAI,1,20:00:00,20:15:00,791,1200.0,1215.0,20:00,20:15
23,12178,BBU,4320,3476,2632,1788,BHABUA ROAD,1,20:51:00,20:52:00,844,1251.0,1252.0,20:51,20:52
24,12178,SSM,4560,3668,2776,1884,SASARAM,1,21:24:00,21:25:00,892,1284.0,1285.0,21:24,21:25
25,12178,DOS,4650,3740,2830,1920,DEHRI-ON-SON,1,21:40:00,21:42:00,910,1300.0,1302.0,21:40,21:42
26,12178,GAYA,5075,4080,3085,2090,GAYA JN.,1,22:40:00,22:45:00,995,1360.0,1365.0,22:40,22:45
27,12178,KQR,5455,4384,3313,2242,KODERMA,1,00:23:00,00:25:00,1071,23.0,25.0,00:23,00:25
28,12178,PNME,5835,4688,3541,2394,PARASNATH,1,01:18:00,01:23:00,1147,78.0,83.0,01:18,01:23
29,12178,GMO,5920,4756,3592,2428,NSC BOSE J G,1,01:40:00,01:50:00,1164,100.0,110.0,01:40,01:50
30,12178,DHN,6070,4876,3682,2488,DHANBAD JN.,1,02:25:00,02:30:00,1194,145.0,150.0,02:25,02:30
31,12178,ASN,6360,5108,3856,2604,ASANSOL MAIN,1,03:50:00,03:55:00,1252,230.0,235.0,03:50,03:55
32,12178,DGR,6575,5280,3985,2690,DURGAPUR,1,04:25:00,04:27:00,1295,265.0,267.0,04:25,04:27
33,12178,BWN,6890,5532,4174,2816,BARDDHAMAN J,1,05:21:00,05:25:00,1358,321.0,325.0,05:21,05:25
34,12178,HWH,7365,5912,4459,3006,HOWRAH JN.,1,06:45:00,06:45:00,1453,405.0,405.0,06:45,06:45
1,12179,LJN,100,100,100,100,LUCKNOW JN.,1,15:55:00,15:55:00,0,955.0,955.0,15:55,15:55
2,12179,ON,380,324,268,212,UNNAO JN.,1,16:48:00,16:50:00,56,1008.0,1010.0,16:48,16:50
3,12179,CNB,465,392,319,246,KANPUR CENTR,1,17:25:00,17:30:00,73,1045.0,1050.0,17:25,17:30
